XYDATA, head_x_accel, head_z_accel, head_y_rot_accel
0.134269 13.854153763007757 17.75847328088593 -1474.572544
0.135141 14.42482121825496 20.02908924046438 -2604.37095
0.136038 15.439724472679252 22.457016922190554 -1862.99387
0.136956 16.608999505437637 25.014418583308267 -1600.777252
0.137805 18.19997073414469 28.045827780128793 -2392.090772
0.138684 19.376557845951474 30.140526071594277 -1809.994001
0.139506 20.841737596426917 32.95370039717947 -2417.112568
0.140363 22.359919646362417 35.37189947637573 -1601.785841
0.141248 22.9665416834495 37.19386497937624 -1340.418464
0.142157 22.87563816389899 37.374521472674154 -1443.797143
0.143084 21.43526657931098 36.98816364405786 -1639.910402
0.144025 18.871740706561365 36.17333941764007 -1842.757344
0.144979 15.973293428438867 34.72544406091785 -2090.255051
0.145941 13.1005893959711 32.946168875202034 -2346.190012
0.146911 10.528805861328793 31.044075805703272 -2573.002325
0.147887 9.395071303656193 29.343490488597027 -2727.872676
0.148868 9.288712557295305 27.897795271575923 -2784.58064
0.149853 10.134402573763722 26.661549560757244 -2752.292938
0.15084 12.092145941784402 25.68560752142679 -2633.453755
0.151831 14.31881427398755 24.62377458153396 -2491.086384
0.152823 17.891527585872854 23.030565279682666 -2328.290213
0.152913 17.72536095404649 24.384142597115225 -72327.744786
0.153185 17.582054014367802 24.698538848638425 -24917.847303
0.153603 18.035524873427725 24.687376117226577 -9035.214858
0.154137 19.276832251584384 24.59372884726181 -3610.948232
0.154765 21.04701014107774 24.599202683893076 -1628.599434
0.155467 23.307939306491004 24.181282599052683 -834.383736
0.156228 25.215500910096722 23.382383790591078 -456.559006
0.157037 26.727826423906226 22.27793568649845 -229.759509
0.157885 27.793533265692158 20.960462951160693 -43.869706
0.158763 28.490786252186016 19.349006133593022 107.720408
0.159665 28.478624198885452 17.062723763976486 127.971887
0.160587 27.5776836126506 14.009844646234955 -31.079838
0.161524 26.64861711185777 11.419922195652951 -67.759222
0.162474 25.893805733864266 9.135087415172357 -15.954785
0.163434 24.941055202337193 7.330070411404507 56.858784
0.164402 23.88875773072354 5.422598848740396 80.224314
0.165111 22.810324728628025 3.8792264432808357 1662.354316
