XYDATA, head_z_accel
0.099656 -4.20631642813805
0.100656 -3.2211053723748684
0.101656 -2.365268771700836
0.102656 -1.666212519055947
0.103656 -1.1305416222665232
0.104656 -0.7497648024554766
0.105656 -0.5230302906701065
0.106656 -0.46704358776952376
0.107656 -0.6069953551926499
0.108656 -0.9894918244252625
0.109656 -1.6398546904396507
0.110656 -2.534072593597202
0.111656 -3.6339388068300598
0.112656 -4.969504264963061
0.113656 -6.579664003507824
0.114656 -8.164703033145877
0.115656 -9.413433333503287
0.116656 -10.039252649987509
0.117656 -9.824945929547807
0.118656 -8.889750730371738
0.119656 -7.509750628400116
0.120656 -6.056307505621186
0.121383 -4.904664997731131
0.121668 -2.863416253256719
0.122095 -1.3481454931092678
0.122637 -0.785759255199278
0.123271 -0.532811816471476
0.123977 -0.2208939852039178
0.124604 0.16163236171373507
0.125305 0.8030584348375848
0.126066 1.628427444642156
0.126874 2.4850570786150215
0.127413 3.3967340529130743
0.128044 4.246050078263219
0.128749 5.4576605670641865
0.129513 6.434550330642982
0.130177 7.180311319359823
0.130775 8.13643354254511
0.131022 9.794594994213112
0.131383 11.759961352755528
0.131827 12.315256790035333
0.132282 13.130717115426778
0.132692 13.34927401304217
0.133028 13.778304007994574
0.133241 14.999081949493457
0.133578 16.2360083208843
0.134047 16.98470486863506
0.134466 17.647392738600846
0.134903 18.85518806116258
0.135404 20.561907277204757
0.136004 21.917817501389365
0.136684 24.08631387884752
0.137022 26.175304920640585
0.137193 28.170048079619445
0.13753 29.915454716952272
0.137999 32.12681496739457
0.138575 34.261199492181326
0.139235 37.7849985469044
0.139964 40.87368204228763
0.140747 42.2670951854099
0.141573 41.55330811235233
0.142121 40.01067755043771
0.142759 37.677739493099075
0.14347 35.01574982282431
0.144238 32.47891114702779
0.145053 29.804680497417568
0.145905 27.32578372838839
0.146786 25.191235539149456
0.147691 23.712862904253747
0.148615 22.824036852543937
0.149555 22.300618559854794
0.150506 22.01924388042808
0.15138 22.079623622745792
0.152279 22.4753844585052
0.153198 23.188153854782215
0.154134 23.696314439691434
0.155082 24.48796398362336
0.156041 24.088625983388823
0.157008 22.327677545339135
0.157981 19.579697348227988
0.15896 16.118115462466797
0.159943 13.02737091667389
0.160929 9.989905829207732
0.161829 8.447277714612024
0.162581 6.829836896391734
0.16331 5.574050771670245
0.164093 4.729411980645787
0.164919 4.056375928579077
0.165781 3.4610516333304444
0.166669 2.972668954230038
0.167581 2.5503855037143164
0.16851 2.287805927610346
0.169453 1.8215241698235383
0.170407 1.1309844850178197
0.171371 0.27104444433114266
0.172342 -0.5869889309805082
0.173318 -1.2179922807482677
0.1743 -1.7119534193633912
0.175285 -2.147375403425227
0.176273 -2.545055447069081
0.177263 -2.9294651078604823
0.178256 -3.317679329842505
0.17925 -3.7042974920079743
0.180245 -4.098891466504872
0.181241 -4.515665900179981
0.182238 -4.967861400172332
0.183235 -5.429128499538579
0.184233 -5.932298797244727
0.185232 -6.450572825582641
0.18623 -6.954849821294734
0.187229 -7.405327201439841
0.188229 -7.818040207410278
0.189228 -8.140532699749661
0.190227 -8.407484615031636
0.191227 -8.556026981690996
0.192227 -8.565293142918327
0.193226 -8.478918998842621
0.194226 -8.265697664340014
0.195226 -7.975829870547027
0.196226 -7.618898910433226
0.197226 -7.2281330525714695
0.198226 -6.811406545558371
0.199226 -6.422644022168631
0.200226 -6.037851763854119
0.201225 -5.6792163480903275
0.202225 -5.357226779787186
0.203225 -5.077701049797842
0.204225 -4.830048079619442
0.205225 -4.634367393554374
0.206225 -4.46733634829427
0.207225 -4.33229665584068
0.208225 -4.227545899976037
0.209225 -4.138079058597992
0.210225 -4.0688242162206265
0.211225 -4.021313802368801
0.212225 -3.991527687844473
0.213225 -3.9762084911769056
0.214225 -3.9693852640810063
0.215225 -3.965827678157169
