XYDATA, head_z_accel
0.104656 1.7400682190146486
0.105656 1.560858397108085
0.106656 1.5350932275547715
0.107656 1.5814854206074451
0.108656 1.6732598797754585
0.109656 1.8433814809338565
0.110656 2.118305231654031
0.111656 2.501143713704476
0.112656 3.00169639989191
0.113656 3.5391548592026845
0.114656 4.024818974879292
0.115656 4.43722004966018
0.116656 4.760228110516843
0.117656 4.922510031458246
0.118656 4.9173152911544715
0.119656 4.709931424084678
0.120656 4.346859121106596
0.121656 3.8427683255749923
0.12202 3.066284816935447
0.122511 1.8785637297140205
0.123103 1.193428846751949
0.123777 0.40971789550967974
0.124517 -0.49557912233025553
0.125308 -1.2292373032585033
0.126141 -2.0628206370167184
0.126772 -3.285604768193012
0.127476 -4.416519606593485
0.128031 -5.5682792798764105
0.128675 -6.516484120469274
0.12939 -7.708578464613299
0.130092 -8.953524496132726
0.130854 -10.50436305976047
0.131663 -12.024860171414296
0.132511 -13.610704776860599
0.133309 -15.281674475993333
0.134147 -16.645701743204867
0.134781 -18.158040819240007
0.135487 -19.47419342996844
0.136183 -21.222414789963953
0.13694 -21.95893674190473
0.137525 -23.198241091504237
0.138012 -24.422030356951662
0.138547 -25.66093803694432
0.139175 -26.789898691194242
0.139878 -28.044405887841418
0.14064 -29.59915455328782
0.14145 -31.25470053484116
0.142298 -32.78475248938221
0.143176 -33.880038239357994
0.144078 -34.44060010299134
0.145001 -34.12161298710569
0.145938 -32.924343481209185
0.146888 -31.084064078966826
0.147848 -28.88886847190427
0.148816 -26.633423646199265
0.149791 -24.59476916174229
0.15077 -22.996328511775175
0.151754 -21.43471970550596
0.151844 -21.934912941728317
0.152116 -21.64087736382965
0.152533 -21.399897008662492
0.153067 -21.237023142459453
0.153694 -21.01876542958095
0.154396 -20.69555026436143
0.155157 -20.19120759892522
0.155966 -19.371359638612574
0.156814 -18.310108140904386
0.157691 -16.735389659057887
0.158512 -15.342260200986066
0.159368 -13.655701692219056
0.160253 -10.445356569266773
0.160583 -9.942605782810643
0.161047 -9.219839088781592
0.161618 -8.37809292673849
0.162275 -7.546630296788404
0.163001 -6.6687487572208655
0.163782 -5.863283078319304
0.164606 -5.064045520131748
0.165466 -4.155024192767153
0.16595 -3.388464154425823
0.166537 -2.6692383229747163
0.167207 -1.98954423783861
0.167943 -1.2136171883364861
0.168731 -0.29767769829656404
0.169562 0.4759051256035446
0.170427 1.1034847781862307
0.171319 1.625799533989691
0.172233 2.0637408289273096
0.173163 2.4882600072399854
0.174108 2.844804087022582
0.175064 3.18368505045046
0.176028 3.445641579948301
0.177 3.6676139150474425
0.177977 3.89207191038734
0.178959 4.0734512805086345
0.179944 4.240901633075516
0.180933 4.449763578796021
0.181923 4.644116900266655
0.182916 4.853885169757256
0.18391 5.091873575583915
0.184905 5.3244512652128915
0.185902 5.621332361203877
0.186899 5.867161263020502
0.187896 6.122907924724549
0.188894 6.365261633687345
0.189893 6.614938026747157
0.190891 6.820256254684321
0.19189 6.942671758449624
0.19289 7.067854772016948
0.193889 7.133871505560003
0.194888 7.087177374536667
0.195888 7.077425522477094
0.196888 7.003000005098582
0.197887 6.907692637139085
0.198887 6.793752198763084
0.199887 6.629286045693484
0.200887 6.449530777584599
0.201887 6.232104439334534
0.202887 5.999743541372436
0.203887 5.726869828126833
0.204887 5.455741767066225
0.205887 5.157591328333325
0.206886 4.89848429382103
0.207886 4.62046590833771
0.208886 4.354823410644818
0.209886 4.114636700606222
0.210886 3.9473958997211076
0.211886 3.814243498034497
0.212886 3.7196384086308787
0.213886 3.6370265075229566
0.214886 3.554439895377117
0.215886 3.484578219881407
0.216886 3.4416480653434154
0.217886 3.426016019741706
0.218886 3.4243481719037594
0.219886 3.422236135683439
0.220886 3.4314844518770427
0.221886 3.4505324448206065
0.222886 3.5276165663095966
0.223886 3.5972217831777415
