XYDATA,	head_z_accel / (G)
0.232946	-5.711806478257101
0.233946	-5.8142186169589
0.234946	-5.9045297833612915
0.235946	-5.994039554791901
0.236946	-6.070953281701702
0.237946	-6.136869675169401
0.238946	-6.185652796826644
0.239946	-6.217121341130763
0.240946	-6.231900496091938
0.241946	-6.240991674017121
0.242946	-6.247796852136051
0.243946	-6.253329526392805
0.244946	-6.263602657380451
0.245946	-6.274406040798846
0.246946	-6.283644159830319
0.247946	-6.287793181157684
0.248946	-6.278200914685444
0.249946	-6.252977520356086
0.25	-6.277906828529621
